Title,Genre,Rating,Runtime,Release_Date,Release_Month,Release_Year,Budget,Cast_1,Cast_2,Cast_3,Director_1,Writer_1,Description,Tomatometer_Status,Tomatometer_Rating,Tomatometer_Count,Audience_Status,Audience_Rating,Audience_Count
Moonlight Mile,Drama,PG-13 ,117,9/27/2002,9,2002,21000000,Jake Gyllenhaal,Dustin Hoffman,Susan Sarandon,Brad Silberling,Brad Silberling,"A family attempts to deal with the emotional impact of an unexpected loss in this emotional drama set in the early 1970s. Diana Floss (Careena Melia) is a woman in her early twenties who is only days away from marrying her boyfriend, Joe Nast (Jake Gyllenhaal), to the delight of her parents, Ben and Jo Jo (Dustin Hoffman and Susan Sarandon). However, Diana finds herself in the wrong place at the wrong time when an altercation breaks out in a diner, and she's murdered for no good reason. Ben and Jo Jo are devastated, and they both turn to Joe for comfort, treating him as a member of the family, with Ben offering him a job at his real estate firm and Jo Jo grateful for his company, despite her unflappable surface. Joe also finds himself needing comfort, and he becomes involved with Bertie (Ellen Pompeo), a woman who waits tables at a local watering hole owned by her boyfriend, who has been listed as Missing in Action in Vietnam for the past three years. However, as the wheels of justice slowly turn and the Floss' lawyer, Mona Camp (Holly Hunter), prepares Ben and Jo Jo for the upcoming murder trial, Joe is tortured by a guilty secret -- he and Diana had a falling out, and planned to call off the wedding shortly before her unexpected death. Moonlight Mile was written and directed by Brad Silberling, who has had his own experiences with death and grieving to draw from -- he was dating actress Rebecca Schaeffer when she was murdered by a stalker in 1989.",Fresh,63,150,Upright,66,10306
Juno,Drama,PG-13 ,96,12/5/2007,12,2007,7500000,Ellen Page,Michael Cera,Jennifer Garner,Jason Reitman,Diablo Cody,"When a teenage girl is faced with an unexpected pregnancy, she enlists the aid of her best friend in finding the unborn child a suitable home in this coming-of-age comedy drama from Thank You for Smoking director Jason Reitman. Juno (Ellen Page) may seem wise beyond her years, but after sleeping with classmate Bleeker (Michael Cera), the pregnant teen quickly realizes how little she really knows about life. Thankfully, Juno has been blessed with parents (J.K. Simmons and Allison Janney) who trust their daughter's judgment, and a best friend named Leah (Olivia Thirlby), who's always willing to help out in a pinch. With a little help from Leah, Juno soon comes into contact with Mark (Jason Bateman) and Vanessa (Jennifer Garner) -- an affluent suburban couple who have been unable to conceive a child of their own. Mark and Vanessa seem like they would make great parents, and are eager to adopt Juno's unborn child. Now, as adolescent Juno is faced with a series of very adult decisions, she will draw on the support of her family and friends in order to discover who she truly is, and discover that one bad choice can have a lifetime of consequences. ~ Jason Buchanan, Rovi",Certified-Fresh,94,216,Upright,88,549481
The Greatest Game Ever Played,Drama,PG ,115,9/30/2005,9,2005,25000000,Shia LaBeouf,Stephen Dillane,Elias Koteas,Bill Paxton,Mark Frost,"The true story of an upset victory that helped change the sport of golf forever provides the basis for this period drama. Francis Ouimet (played by Shia LaBeouf) was born in 1893 to a working-class family in Massachusetts, and grew up fascinated by golf. However, at that time golf was considered a pastime of the wealthy and privileged, and British and Scottish players dominated the professional game. Ouimet's familial home was near the Brookline, MA, Country Club, and over the stern objections of his father, Francis got a job there as a caddy. Honing his skill in his spare time, Francis displayed a tremendous natural talent for the game and an understanding of its strategies, and 1913 he became the first amateur to play in the U.S. Open, held at the Brookline Country Club. Ouimet's presence was considered little more than a novelty at the time; Harry Vardon (Stephen Dillane), a British champion with six tournament victories under his belt, was considered a shoo-in to win, with Ted Ray (Stephen Marcus) his only serious competition. However, Vardon, a fellow working-class boy who had overcome tuberculosis to become Britain's premier professional golfer, had more in common with Ouimet than anyone expected, and the tournament unexpectedly became a hard-fought competition between an established star and a promising unknown. Directed by Bill Paxton in his second directorial effort, The Greatest Game Ever Played also stars Elias Koteas as Francis' father, Josh Flitter as the ten-year-old boy who becomes Francis' caddy, and Peyton List as Sarah Wallis, Francis' sweetheart.",Fresh,63,112,Upright,82,62579
Stoker,Drama,R ,98,3/1/2013,3,2013,12000000,Mia Wasikowska,Matthew Goode,Nicole Kidman,Chan-wook Park,Wentworth Miller,"After India's father dies in an auto accident, her Uncle Charlie, who she never knew existed, comes to live with her and her emotionally unstable mother. Soon after his arrival, she comes to suspect this mysterious, charming man has ulterior motives, but instead of feeling outrage or horror, this friendless girl becomes increasingly infatuated with him.",Fresh,70,202,Upright,60,23045
Heavenly Creatures,Drama,R ,98,11/16/1994,11,1994,5000000,Melanie Lynskey,Kate Winslet,Sarah Peirse,Peter Jackson,Fran Walsh,"After winning a cult following for several offbeat and darkly witty gore films, New Zealand director Peter Jackson abruptly shifted gears with this stylish, compelling, and ultimately disturbing tale of two teenage girls whose friendship begins to fuel an ultimately fatal obsession. Pauline (Melanie Lynskey) is a student in New Zealand who doesn't much care for her family or her classmates; she's a bit overweight and not especially gracious, but she quickly makes friends with Juliet (Kate Winslet), a pretty girl whose wealthy parents have relocated from England. Pauline and Juliet find they share the same tastes in art, literature, and music (especially the vocal stylings of Mario Lanza), and together they begin to construct an elaborate fantasy world named Borovnia, which exists first in stories and then in models made of clay. The more Pauline and Juliet dream of Borovnia, the more the two find themselves retreating into this fantastical world of art, adventure, and Gothic romance as they slowly drift away from reality. The girls' parents decide that perhaps they're spending too much time together, and try to bring them back into the real world, but this only feeds their continued obsession with Borovnia (and each other) and leads to a desperate and violent bid for freedom. Featuring excellent performances (especially by Kate Winslet) and imaginative production design and special effects, Heavenly Creatures skillfully allows the audience to see Pauline and Juliet both from their own fantastic perspective and how they seem to the rest of the world. Remarkably enough, Heavenly Creatures is based on a true story; in real life, Juliet grew up to become mystery novelist Anne Perry. ~ Mark Deming, Rovi",Certified-Fresh,92,51,Upright,83,40097
Beyond the Lights,Drama,PG-13 ,102,11/14/2014,11,2014,7000000,Gugu Mbatha-Raw,Nate Parker,Minnie Driver,Gina Prince-Bythewood,Gina Prince-Bythewood,"Beyond the Lights is the story of Noni, the music world's latest superstar. But not all is what it seems, and the pressures of fame have Noni on the edge - until she meets Kaz Nicol, a young cop and aspiring politician who's been assigned to her detail. Drawn to each other, Noni and Kaz fall fast and hard, despite the protests of those around them who urge them to put their career ambitions ahead of their romance. But it is ultimately Kaz's love that gives Noni the courage to find her own voice and break free to become the artist she was meant to be. (c) Relativity",Certified-Fresh,84,92,Upright,75,19249
Cocktail,Drama,R ,103,7/29/1988,7,1988,20000000,Tom Cruise,Bryan Brown,Elisabeth Shue,Roger Donaldson,Heywood Gould,"After being discharged from the Army, Brian Flanagan (Tom Cruise) moves back to Queens and takes a job in a bar run by Doug Coughlin (Bryan Brown), who teaches Brian the fine art of bartending. Brian quickly becomes a patron favorite with his flashy drink-mixing style. Brian adopts his mentor's cynical philosophy on life and goes for the money. He leaves his artist girlfriend Jordan Mooney (Elisabeth Shue) for Bonnie (Lisa Banes), a wealthy, high-powered executive. Brian soon must chose between the two, as he evaluates his options. Scriptwriter Heywood Gould displayed his sense of humor when assigning the character name ""Mr. Mooney"" to Lucille Ball's real-life son-in-law, actor Laurence Luckenbill. Television fans of The Lucy Show will recall Mr. Mooney, played by Gale Gordon, as Lucy's fussy financial boss. The film is more memorable for the 17-song soundtrack and plays like a series of MTV videos. Cocktail was a big draw at the box office in 1988.",Rotten,7,44,Spilled,58,107061
The Joy Luck Club,Drama,R ,135,9/8/1993,9,1993,11000000,Kieu Chinh,Tsai Chin,France Nuyen,Wayne Wang,Amy Tan,Stories told by four elderly Chinese women and their American-born daughters while playing mah-jongg.,Fresh,86,36,Upright,89,27707
Miracles from Heaven,Drama,PG ,109,3/16/2016,3,2016,16000000,Jennifer Garner,Kylie Rogers,Martin Henderson,Patricia Riggen,Randy Brown,"When Christy discovers her 10-year-old daughter Anna has a rare, incurable disease, she becomes a ferocious advocate for her daughter's healing as she searches for a solution. After Anna has a freak accident, an extraordinary miracle unfolds in the wake of her dramatic rescue that leaves medical specialists mystified, her family restored and their community inspired. Based on a true story.",Rotten,45,93,Upright,81,22115
The Constant Gardener,Drama,R ,128,8/31/2005,8,2005,25000000,Ralph Fiennes,Rachel Weisz,Hubert Kounde,Fernando Meirelles,Jeffrey Caine,"When a British diplomat's wife -- a socially-conscious lawyer -- turns up dead in Kenya, he sets out to find the truth surrounding her murder. In the process, he finds out that his wife had been compiling data against a multinational drug company that uses helpless Africans as guinea pigs to test a tuberculosis remedy with unfortunately fatal side effects. Therefore, those who may have had the most reason to silence her are closer to home than he ever imagined.",Certified-Fresh,83,193,Upright,82,217601
